Date,Open,Log Open,Change %
01/11/17,"10,390.35",9.24863277,-1.05%
01/10/17,"9,893.30",9.199613039,5.59%
01/09/17,"9,937.65",9.204085853,-1.30%
01/08/17,"10,101.05",9.220394658,-1.58%
01/07/17,"9,587.95",9.168262381,5.84%
01/06/17,"9,603.55",9.169888101,-1.04%
01/05/17,"9,339.85",9.142045471,3.41%
01/04/17,"9,220.60",9.12919539,1.42%
01/03/17,"8,904.40",9.094300816,3.31%
01/02/17,"8,570.35",9.056063851,3.72%
01/01/17,"8,210.10",9.013120383,4.59%
01/12/16,"8,244.00",9.017240942,-0.47%
01/11/16,"8,653.15",9.065678696,-4.65%
01/10/16,"8,666.15",9.067179911,0.17%
01/09/16,"8,793.60",9.081779463,-1.99%
01/08/16,"8,654.30",9.065811586,1.71%
01/07/16,"8,313.05",9.025581848,4.23%
01/06/16,"8,179.20",9.009349625,1.56%
01/05/16,"7,822.70",8.964785043,3.95%
01/04/16,"7,718.05",8.95131702,1.44%
01/03/16,"7,038.25",8.859114839,10.75%
01/02/16,"7,589.50",8.934520992,-7.62%
01/01/16,"7,938.45",8.979473321,-4.82%
01/12/15,"7,958.15",8.98195184,0.14%
01/11/15,"8,054.55",8.993992428,-1.62%
01/10/15,"7,992.05",8.986202577,1.47%
01/09/15,"7,907.95",8.975623862,-0.28%
01/08/15,"8,510.65",9.049073599,-6.58%
01/07/15,"8,376.25",9.033155599,1.96%
01/06/15,"8,417.25",9.038038451,-0.77%
01/05/15,"8,230.05",9.015547369,3.08%
01/04/15,"8,483.70",9.045901954,-3.65%
01/03/15,"8,953.85",9.099838886,-4.62%
01/02/15,"8,802.50",9.082791051,1.06%
01/01/15,"8,272.80",9.020728304,6.35%
01/12/14,"8,605.10",9.06011033,-3.56%
01/11/14,"8,348.15",9.029795236,3.20%
01/10/14,"7,960.50",8.982247091,4.49%
01/09/14,"7,990.35",8.985989843,0.13%
01/08/14,"7,662.50",8.94409358,3.02%
