Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Components of Gross Domestic Product,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Base Year:2011-12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Year,Private Final Consumption Expenditure,,Government Final Consumption Expenditure,,Gross Fixed Capital Formation,,Changes in Stocks,,Valuables,,Exports of Goods and Services,,Import of Goods and Services,,Discrepancies,,Gross Domestic Product,,
,,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Current Prices,Constant Prices,Log Constant Prices,Current Prices
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2.833213344,18
,2008-09   ,4.452197357,14.41421422,11.3640171,20.28437403,3.199340072,9.122987996,-51.37689402,-47.01121204,26.92255185,34.74677477,14.77813513,30.41082258,22.44862579,32.39506223,-248.741992,-85.01302731,3.08669806,1.12710193,12.56445777
,2007-08   ,7.281564445,14.42019545,9.42466467,15.83780986,16.32889863,22.77531581,31.339339,37.00481774,2.895191424,7.810809051,5.866539051,12.60233492,9.951587207,17.16173987,-198.6749152,133.0749601,7.660815065,2.036118383,15.13723236
,2006-07   ,4.935775512,14.54862056,4.053400165,10.76930042,13.87411124,20.10548093,31.56844394,40.91520413,13.65604445,20.09233676,20.3938055,27.07323684,21.50464421,27.91376652,38.04915343,-15.3000601,8.060732573,2.087004442,17.13884795
,2005-06   ,7.455695388,12.0903643,8.822173603,13.5683062,16.4412319,21.59011564,26.65154765,30.24319775,-1.558325473,0.823963053,26.08507443,25.13588413,32.2696449,29.95806341,-51.66906994,31.3495377,7.923430621,2.069824271,13.99078149
,2004-05   ,5.1711256,8.253981089,3.975791655,9.155399901,11.45397183,23.65911438,269.9050145,118.3876128,57.24656074,67.07607064,27.17641182,36.32413008,22.19523474,43.27684159,-,-,7.922936613,2.069761922,14.1019707
,2003-04   ,5.92532039,9.320007771,2.775858533,7.696263116,5.116004165,12.04130143,8.074536609,33.52060523,66.60072746,76.05502615,9.58221992,17.4006345,13.88391695,14.97364342,-,-,7.860381475,2.061835139,12.03220325
,2002-03   ,2.870478557,5.785930089,-0.18524876,3.566042654,-0.717354333,1.906871517,-675.9903903,-321.6590196,-4.147042633,-1.621202508,21.08500282,22.28630781,11.99681938,22.16074586,-,-,3.803975321,1.336046657,7.661002792
,2001-02   ,5.952897394,8.887058321,2.353300788,6.506871071,22.19022554,24.4540817,-120.0967681,-32.73290932,-5.37677972,-3.647106763,4.309524517,4.541466817,2.944248575,4.546539259,-,-,4.823966264,1.573596466,8.194702513
,2000-01   ,3.439589377,7.171134764,1.375863649,5.613602025,-1.793981845,1.710923775,-67.25267562,-143.1056592,-8.139720348,-5.122752755,18.15351103,22.14741521,4.589716462,11.9761989,-,-,3.840991157,1.345730447,7.6259643
,1999-00   ,6.079353417,12.53852781,11.77638224,14.68739926,16.74119551,21.33502185,-1112.967576,-708.5851252,-,-,17.99946948,16.60026628,6.992507064,18.22376471,-,-,8.845755561,2.179937746,12.18557385
,1998-99   ,6.501189433,14.50495508,12.19265746,23.8533649,10.61889692,15.18182206,-130.8426306,-261.7858018,-,-,13.88432184,18.20608585,20.84559133,21.92336695,-,-,6.184415821,1.82203255,14.68996541
,1997-98   ,2.989656431,9.684203619,11.25246601,18.27196222,9.098423996,14.51642496,-175.0549474,-121.5034338,-,-,-2.32817624,14.04793792,13.20068411,14.47690378,-,-,4.049820849,1.398672645,10.7883695
,1996-97   ,7.773661304,17.24887728,4.640292485,13.39815908,4.703055278,12.87897426,-165.8066579,-150.8704508,-,-,6.289730438,10.80140439,-2.43998772,11.08566225,-,-,7.549522249,2.021484283,15.69641823
,1995-96   ,6.087888891,15.26023477,7.804147192,18.49796246,12.12012247,26.25410139,59.20265136,59.62679151,-,-,31.3960731,28.66534786,28.12587832,38.43281444,-,-,7.57449184,2.024786265,17.3236477
,1994-95   ,4.860116826,16.20899362,1.383661496,11.26011563,5.758996763,15.77270217,-664.2191166,-463.9006781,-,-,13.04366509,17.94606893,22.60159333,21.75722974,-,-,6.658924067,1.89595792,17.30353245
,1993-94   ,4.346925457,14.56857556,5.935745114,16.00486272,-0.826161209,8.559785487,-120.8156334,-146.5740811,-,-,13.77959376,27.98163775,19.2672648,17.80684932,-,-,4.75077622,1.558308019,15.08107031
,1992-93   ,2.578798717,12.7545395,3.451483877,13.24091631,10.60000476,17.30085492,-1123.251722,385.7993068,-,-,4.893244256,19.65726882,21.12807931,29.78008498,-,-,5.482396022,1.701542236,14.93905354
,1991-92   ,2.157258994,14.85619451,-0.167577018,12.84786962,-7.703632391,8.352452775,-111.8933067,-49.01696617,-,-,9.662286327,38.43730774,0.015200485,15.50577026,-,-,1.056831433,0.055275217,14.95398392
,1990-91   ,4.466487796,14.91396296,3.396306999,13.98159924,16.47967562,23.94572653,-6.208668124,-35.8817125,-,-,11.10441821,17.41165593,3.365822756,21.10315329,-,-,5.533454563,1.710812315,16.79208416
,1989-90   ,4.962380359,11.69403397,5.344083899,14.48398901,8.728692833,19.78331587,-33.55776317,-3.18760982,-,-,11.9791334,33.55844557,2.084370824,25.62324274,-,-,5.947343328,1.78294462,14.88591819
,1988-89   ,6.241775948,16.44411382,5.480865043,15.42371753,3.462351109,14.42181826,302.2692199,132.4722496,-,-,7.473063356,27.76983383,9.194473411,26.72710717,-,-,9.62778292,2.264652973,18.65290699
,1987-88   ,3.427365225,11.00715537,8.194004273,17.39037732,11.04625708,21.31999117,-71.6613944,-50.31110921,-,-,12.72727851,22.5956598,-1.668219433,12.97016861,-,-,3.965355634,1.377595544,13.66313308
,1986-87   ,3.155657956,12.16655021,9.40197759,18.2377446,9.529805472,17.52302183,-22.26390283,-23.72955389,-,-,5.43238102,10.64811718,17.08396893,2.781097729,-,-,4.776564171,1.563721495,11.89026469
,1985-86   ,4.173558344,10.36748987,10.5396814,19.08277953,4.605903659,17.98224452,56.99329183,114.5960297,-,-,-6.314910876,-5.648113088,13.87090923,11.6505851,-,-,5.254299223,1.659046641,12.82606768
,1984-85   ,2.882359113,10.65233395,7.435112874,14.98678968,1.666610954,13.57936399,132.1832361,481.3011699,-,-,7.297851957,20.6027856,-14.3300619,10.23479491,-,-,3.820737856,1.34044356,12.04669666
,1983-84   ,7.761606424,17.08178089,4.474098302,15.53262469,7.331354807,13.99644519,-58.09602775,-86.69863908,-,-,-0.914918273,13.62968088,21.98417709,12.32206406,-,-,7.288892901,1.986351669,16.46516128
,1982-83   ,1.0001309,10.39049475,9.620059017,18.20206126,5.646286232,18.31207663,-24.30325743,-19.05707794,-,-,6.020508022,12.74375975,3.454170118,6.259706935,-,-,3.47573324,1.245805461,11.85298694
,1981-82   ,4.348571595,14.91291636,4.209100074,17.17110891,-0.126171167,18.62462866,2250.694529,-5616.673756,-,-,-0.816934053,13.5895448,10.02942042,8.921741689,-,-,6.006203624,1.792792872,17.48411223
