"Date","Price","Open","High","Low","Vol.","Change %"
"28-11-2025","26,202.95","26,237.45","26,280.75","26,172.40","202.51M","-0.05%"
"27-11-2025","26,215.55","26,261.25","26,310.45","26,141.90","240.29M","0.04%"
"26-11-2025","26,205.30","25,842.95","26,215.15","25,842.95","275.26M","1.24%"
"25-11-2025","25,884.80","25,998.50","26,032.60","25,857.50","260.45M","-0.29%"
"24-11-2025","25,959.50","26,122.80","26,142.80","25,912.15","464.65M","-0.42%"
"21-11-2025","26,068.15","26,109.55","26,179.20","26,052.20","235.58M","-0.47%"
"20-11-2025","26,192.15","26,132.10","26,246.65","26,063.20","240.43M","0.54%"
"19-11-2025","26,052.65","25,918.10","26,074.65","25,856.20","250.11M","0.55%"
"18-11-2025","25,910.05","26,021.80","26,029.85","25,876.50","280.00M","-0.40%"
"17-11-2025","26,013.45","25,948.20","26,024.20","25,906.35","281.77M","0.40%"
"14-11-2025","25,910.05","25,767.90","25,940.20","25,740.80","518.94M","0.12%"
"13-11-2025","25,879.15","25,906.10","26,010.70","25,808.40","385.17M","0.01%"
"12-11-2025","25,875.80","25,834.30","25,934.55","25,781.15","312.59M","0.70%"
"11-11-2025","25,694.95","25,617.00","25,715.80","25,449.25","297.71M","0.47%"
"10-11-2025","25,574.35","25,503.50","25,653.45","25,503.50","243.59M","0.32%"
"07-11-2025","25,492.30","25,433.80","25,551.25","25,318.45","305.61M","-0.07%"
"06-11-2025","25,509.70","25,593.35","25,679.15","25,491.55","371.85M","-0.34%"
"04-11-2025","25,597.65","25,744.75","25,787.40","25,578.40","305.14M","-0.64%"
"03-11-2025","25,763.35","25,696.85","25,803.10","25,645.50","23.35M","0.16%"
"31-10-2025","25,722.10","25,863.80","25,953.75","25,711.20","334.38M","-0.60%"
"30-10-2025","25,877.85","25,984.40","26,032.05","25,845.25","257.37M","-0.68%"
"29-10-2025","26,053.90","25,982.00","26,097.85","25,960.30","321.88M","0.45%"
"28-10-2025","25,936.20","25,939.95","26,041.70","25,810.05","395.23M","-0.11%"
"27-10-2025","25,966.05","25,843.20","26,005.95","25,827.00","266.34M","0.66%"
"24-10-2025","25,795.15","25,935.10","25,944.15","25,718.20","284.91M","-0.37%"
"23-10-2025","25,891.40","26,057.20","26,104.20","25,862.45","448.40M","0.09%"
"21-10-2025","25,868.60","25,901.20","25,934.35","25,825.80","42.47M","0.10%"
"20-10-2025","25,843.15","25,824.60","25,926.20","25,788.50","301.13M","0.52%"
"17-10-2025","25,709.85","25,546.85","25,781.50","25,508.60","422.06M","0.49%"
"16-10-2025","25,585.30","25,394.90","25,625.40","25,376.85","372.78M","1.03%"
"15-10-2025","25,323.55","25,181.95","25,365.15","25,159.35","289.93M","0.71%"
"14-10-2025","25,145.50","25,277.55","25,310.35","25,060.55","292.13M","-0.32%"
"13-10-2025","25,227.35","25,177.30","25,267.30","25,152.30","234.29M","-0.23%"
"10-10-2025","25,285.35","25,167.65","25,330.75","25,156.85","232.94M","0.41%"
"09-10-2025","25,181.80","25,074.30","25,199.25","25,024.30","286.25M","0.54%"
"08-10-2025","25,046.15","25,079.75","25,192.50","25,008.50","227.44M","-0.25%"
"07-10-2025","25,108.30","25,085.30","25,220.90","25,076.30","287.99M","0.12%"
"06-10-2025","25,077.65","24,916.55","25,095.95","24,881.65","268.79M","0.74%"
"03-10-2025","24,894.25","24,759.55","24,904.80","24,747.55","365.85M","0.23%"
"01-10-2025","24,836.30","24,620.55","24,867.95","24,605.95","308.90M","0.92%"
