Week_End_Date,Close,Weekly_Return
2023-01-13,15988.21,-0.008939756750842909
2023-01-20,15963.17,-0.001566154059772784
2023-01-27,16107.66,0.009051460330247618
2023-02-03,16581.86,0.02943940957283675
2023-02-10,16409.63,-0.010386651437172878
2023-02-17,16450.67,0.002500970466731811
2023-02-24,16322.23,-0.007807584736670203
2023-03-03,16356.12,0.0020763094258566817
2023-03-10,16373.45,0.0010595422386239228
2023-03-17,16145.57,-0.013917653274050479
2023-03-24,16192.81,0.0029258799782230227
2023-03-31,16487.02,0.018169175084497446
2023-04-07,16590.58,0.006281304929574905
2023-04-14,16647.47,0.003429054318776048
2023-04-21,16831.23,0.011038313929984556
2023-04-28,17238.74,0.02421154009540616
2023-05-05,17375.67,0.007943155938310742
2023-05-12,17590.55,0.012366717369747482
2023-05-19,17581.28,-0.0005269875018121262
2023-05-26,18127.4,0.031062584749233402
2023-06-02,18348.97,0.012222933239184774
2023-06-09,18162.55,-0.010159698337291023
2023-06-16,18769.33,0.03340830445064169
2023-06-23,18387.38,-0.020349687495504698
2023-06-30,18690.49,0.01648467590271152
2023-07-07,18985.54,0.015786102986063977
2023-07-14,19173.93,0.00992281494231917
2023-07-21,19335.75,0.008439584373156617
2023-07-28,19069.15,-0.013787931680953602
2023-08-04,18777.77,-0.015280177669167228
2023-08-11,18539.62,-0.012682549631825357
2023-08-18,18566.32,0.0014401589676595883
2023-08-25,18609.46,0.002323562235273302
2023-09-01,18515.25,-0.0050624789757467425
2023-09-08,18742.62,0.012280147446024126
2023-09-15,18797.96,0.0029526288213708174
2023-09-22,18663.9,-0.0071316249210019445
2023-09-29,18679.41,0.0008310160255893262
2023-10-06,18676.45,-0.00015846324910684384
2023-10-13,19012.71,0.018004492288416607
2023-10-20,18748.67,-0.013887552063856279
2023-10-27,18560.81,-0.01001991074566877
2023-11-03,18749.64,0.01017358617431019
2023-11-10,18831.54,0.004368083867210437
2023-11-17,19075.94,0.012978226953292094
2023-11-24,19014.0,-0.0032470221650937603
2023-12-01,19451.2,0.02299358367518667
2023-12-08,19382.52,-0.0035308875544953766
2023-12-15,19573.38,0.009847016796577623
2023-12-22,19837.87,0.013512740262540124
2023-12-29,20467.98,0.03176298665128874
2024-01-05,20738.94,0.013238238458313845
2024-01-12,20372.55,-0.017666765996719236
2024-01-19,20404.98,0.0015918478540977166
2024-01-26,19928.99,-0.023327148568633604
2024-02-02,19898.63,-0.001523408863168707
2024-02-09,19449.15,-0.022588489760350328
2024-02-16,19308.0,-0.007257386569593072
2024-02-23,19607.14,0.015493059871555692
2024-03-01,19531.28,-0.00386899874229496
2024-03-08,19554.05,0.0011658222092971737
2024-03-15,19384.42,-0.008674929234608775
