Week_End_Date,Close,Weekly_Return
2023-01-13,8794.67,0.0015944113604087207
2023-01-20,8939.13,0.016425857934407873
2023-01-27,8315.86,-0.06972378743792729
2023-02-03,7623.43,-0.0832661925525442
2023-02-10,7541.96,-0.010686790591636575
2023-02-17,7636.28,0.012506032914520793
2023-02-24,7443.52,-0.025242657419581205
2023-03-03,7497.65,0.007272097072352768
2023-03-10,7595.25,0.0130174121224651
2023-03-17,7467.05,-0.016878970409137217
2023-03-24,7354.35,-0.015092975137437126
2023-03-31,7448.86,0.012850897767987535
2023-04-07,7499.89,0.006850712726511166
2023-04-14,7614.73,0.01531222457929382
2023-04-21,7679.38,0.008490123747000977
2023-04-28,7848.33,0.022000473996598657
2023-05-05,7876.25,0.0035574447047970192
2023-05-12,7927.73,0.0065361053800983004
2023-05-19,7824.62,-0.013006245167279884
2023-05-26,7978.96,0.019724919548808728
2023-06-02,7749.83,-0.028716775118561855
2023-06-09,7773.52,0.0030568412468403583
2023-06-16,7974.55,0.025860871265527052
2023-06-23,7804.61,-0.021310293370785827
2023-06-30,7918.74,0.01462340847268484
2023-07-07,8235.97,0.04006066621710014
2023-07-14,8309.11,0.008880556874296675
2023-07-21,8413.59,0.012574150540791917
2023-07-28,8383.62,-0.0035620941833389708
2023-08-04,8311.01,-0.008660936445115675
2023-08-11,8385.52,0.008965216020676126
2023-08-18,8283.17,-0.01220556387677807
2023-08-25,8178.23,-0.012669062689767419
2023-09-01,8212.93,0.0042429718900056645
2023-09-08,8602.06,0.04738016761375041
2023-09-15,8529.29,-0.008459601537306072
2023-09-22,8390.2,-0.016307336249558935
2023-09-29,8450.12,0.007141665276155562
2023-10-06,8318.06,-0.015628180428207128
2023-10-13,8501.02,0.02199551337691741
2023-10-20,8386.04,-0.013525435771236771
2023-10-27,8201.39,-0.022018735899185016
2023-11-03,8403.71,0.024668989037224254
2023-11-10,8575.8,0.02047786037357313
2023-11-17,8763.04,0.021833531565568443
2023-11-24,8758.92,-0.0004701564753785137
2023-12-01,9123.01,0.04156791019897432
2023-12-08,9598.15,0.05208149503288939
2023-12-15,9660.33,0.006478331761849976
2023-12-22,9846.03,0.019222945799988178
2023-12-29,10066.66,0.022408016225829108
2024-01-05,10323.68,0.02553180498795027
2024-01-12,10573.68,0.02421617097779083
2024-01-19,10871.75,0.028189807143775836
2024-01-26,10741.43,-0.011987030606848026
2024-02-02,11682.57,0.08761775666740834
2024-02-09,12116.95,0.03718188720461346
2024-02-16,12478.07,0.029802879437482055
2024-02-23,12294.41,-0.014718622351052701
2024-03-01,12264.64,-0.002421425672317734
2024-03-08,12335.15,0.0057490476687453995
2024-03-15,11556.13,-0.06315448129937618
2024-03-22,11769.23,0.01844042945172819
2024-03-29,11985.0,0.018333399891071966
2024-04-05,12074.75,0.007488527325824057
2024-04-12,12220.47,0.01206815876105094
2024-04-19,12135.2,-0.006977636703007217
2024-04-26,12347.92,0.01752917133627796
2024-05-03,12413.75,0.0053312622692729406
2024-05-10,11910.65,-0.0405276407209747
2024-05-17,12240.33,0.027679429754043694
2024-05-24,12662.26,0.03447047587769281
2024-05-31,12287.44,-0.02960135078572068
2024-06-07,12334.35,0.0038177195575319622
2024-06-14,12695.72,0.029297855176802834
2024-06-21,12471.46,-0.017664220697999
2024-06-28,12830.02,0.028750443011483995
2024-07-05,13177.12,0.02705373803002642
2024-07-12,13425.19,0.018825813227776544
2024-07-19,13254.07,-0.012746188322102059
2024-07-26,13560.43,0.023114409385192713
2024-08-02,13682.66,0.009013725965916874
2024-08-09,13485.96,-0.01437585966471433
2024-08-16,13450.32,-0.0026427484583967376
2024-08-23,13681.21,0.017166134337324168
2024-08-30,13892.87,0.015470853820678254
2024-09-06,13388.69,-0.03629055767454814
2024-09-13,13118.67,-0.02016776846726609
2024-09-20,12983.67,-0.010290677332381981
2024-09-27,13592.17,0.04686656392221922
2024-10-04,12940.59,-0.047937893654949826
2024-10-11,12781.97,-0.012257555490128413
2024-10-18,12600.83,-0.014171524420727
2024-10-25,11808.55,-0.0628752232987827
2024-11-01,11884.54,0.0064351677386302875
2024-11-08,11565.9,-0.02681130275130561
2024-11-15,11145.37,-0.036359470512454584
2024-11-22,11011.64,-0.011998704394739823
2024-11-29,11400.17,0.03528357265584425
2024-12-06,11598.52,0.01739886335028351
2024-12-13,11425.06,-0.014955356373054562
2024-12-20,10833.76,-0.051754651616709224
2024-12-27,10890.52,0.005239178272363532
2025-01-03,11257.31,0.033679750829161526
2025-01-10,10909.35,-0.03090969334592364
2025-01-17,11123.46,0.019626283875757933
2025-01-24,10726.89,-0.03565167672648617
2025-01-31,10875.37,0.013841849781250692
2025-02-07,10725.05,-0.01382205846789597
2025-02-14,10065.96,-0.06145332655791813
2025-02-21,10314.01,0.024642458344757978
2025-02-28,9886.58,-0.04144168950776661
2025-03-07,10385.17,0.05043098826894643
2025-03-14,10311.1,-0.0071322857497758685
2025-03-21,10856.11,0.052856630233437674
2025-03-28,10821.54,-0.0031843818826449155
2025-04-04,10403.05,-0.03867194502815696
2025-04-11,10531.52,0.012349262956536933
2025-04-18,10947.37,0.03948622800887236
2025-04-25,11012.89,0.005984999136778857
2025-05-02,11429.89,0.03786472034134536
2025-05-09,11196.78,-0.020394771953185842
2025-05-16,11801.75,0.0540307124012438
2025-05-23,11673.12,-0.010899231046243019
2025-05-30,11586.67,-0.007405903477390896
2025-06-06,11646.73,0.005183542812559505
2025-06-13,11615.49,-0.0026822979497249655
2025-06-20,11630.2,0.0012664123510932601
2025-06-27,11994.13,0.0312918092552148
2025-07-04,12114.29,0.01001823391942569
2025-07-11,11873.19,-0.01990211560066668
2025-07-18,11905.55,0.002725468050287949
2025-07-25,11480.34,-0.03571527564875199
2025-08-01,11230.36,-0.021774616431220695
2025-08-08,11141.35,-0.007925836749667847
2025-08-15,11150.35,0.0008078015680326178
2025-08-22,11248.12,0.008768334626267471
2025-08-29,10943.79,-0.027056076926633033
2025-09-05,11138.41,0.017783601476270894
2025-09-12,11283.75,0.013048541039520023
2025-09-19,11490.22,0.018297994904176385
2025-09-26,11289.72,-0.017449622374506313
2025-10-03,11475.16,0.016425562370014468
2025-10-10,11559.89,0.007383775041045038
2025-10-17,11611.28,0.004445544031993487
2025-10-24,11752.99,0.012204511475048418
2025-10-31,12069.21,0.026905493836036465
2025-11-07,12002.15,-0.005556287445491415
2025-11-14,12180.59,0.014867336268918452
2025-11-21,12114.71,-0.005408605001892441
